"AGENT_NO","LONGT","LAT"
,166.825,-45.125
,166.825,-45.175
,166.825,-45.225
,166.825,-45.275
3027,166.825,-45.325
3106,166.825,-45.375
3380,166.825,-45.425
4782,166.825,-45.475
5878,166.825,-45.525
7317,166.825,-45.575
7318,166.825,-45.625
7319,166.825,-45.675
,166.825,-45.725
7320,166.825,-45.775
7344,166.825,-45.825
7345,166.825,-45.875
7346,166.825,-45.925
,166.825,-45.975
7347,166.825,-46.025
7348,166.825,-46.075
7349,166.825,-46.125
7350,166.825,-46.175
,166.825,-46.225
,166.825,-46.275
,166.825,-46.325
,166.825,-46.375
,166.825,-46.425
,166.825,-46.475
,166.875,-44.775
,166.875,-44.825
,166.875,-44.875
,166.875,-44.925
,166.875,-44.975
,166.875,-45.025
,166.875,-45.075
,166.875,-45.125
,166.875,-45.175
,166.875,-45.225
,166.875,-45.275
7351,166.875,-45.325
7352,166.875,-45.375
,166.875,-45.425
,167.225,-44.825
,167.225,-44.875
,167.225,-44.925
7353,167.225,-44.975
7354,167.225,-45.025
7355,167.225,-45.075
7356,167.225,-45.125
7357,167.225,-45.175
7358,167.225,-45.225
7359,167.225,-45.275
7360,167.225,-45.325
7361,167.225,-45.375
7365,167.225,-45.425
7366,167.225,-45.475
7367,167.225,-45.525
7368,167.225,-45.575
7369,167.225,-45.625
7370,167.225,-45.675
7371,167.225,-45.725
7372,167.225,-45.775
7373,167.225,-45.825
7374,167.225,-45.875
7375,167.225,-45.925
7376,167.225,-45.975
7377,167.225,-46.025
7378,167.225,-46.075
7379,167.225,-46.125
7380,167.225,-46.175
7381,167.225,-46.225
,167.225,-46.275
,167.225,-46.325
,167.225,-46.375
,167.225,-46.425
,167.225,-46.475
,167.225,-46.975
,167.225,-47.025
,167.225,-47.075
,167.225,-47.125
,167.225,-47.175
,167.225,-47.225
,167.225,-47.275
,167.225,-47.325
7382,167.475,-45.175
7383,167.475,-45.225
7384,167.475,-45.275
7386,167.475,-45.325
7388,167.475,-45.375
7389,167.475,-45.425
7390,167.475,-45.475
7391,167.475,-45.525
7392,167.475,-45.575
7393,167.475,-45.625
7394,167.475,-45.675
7395,167.475,-45.725
7396,167.475,-45.775
7397,167.475,-45.825
7399,167.475,-45.875
7400,167.475,-45.925
7401,167.475,-45.975
7402,167.475,-46.025
7403,167.475,-46.075
7404,167.475,-46.125
,167.475,-46.175
,167.475,-46.225
,167.475,-46.275
,167.475,-46.325
,167.475,-46.375
,167.475,-46.425
,167.475,-46.475
,167.475,-46.525
,167.475,-46.575
,167.475,-46.625
,167.475,-46.675
,167.475,-46.725
,167.475,-46.775
,167.475,-46.825
,167.475,-46.875
,167.475,-46.925
,167.475,-46.975
,167.475,-47.025
,167.475,-47.075
,167.475,-47.125
,167.475,-47.175
7405,167.475,-47.225
,167.675,-46.625
,167.675,-46.675
,167.675,-46.725
,167.675,-46.775
,167.675,-46.825
,167.675,-46.875
,167.675,-46.925
,167.675,-46.975
,167.675,-47.025
7407,167.675,-47.075
7408,167.675,-47.125
7409,167.675,-47.175
,167.675,-47.225
,167.675,-47.275
,167.675,-47.325
,167.675,-47.375
,167.675,-47.425
,167.675,-47.475
,167.675,-47.525
,167.725,-44.175
,167.725,-44.225
,167.725,-44.275
,167.725,-44.325
,167.725,-44.375
,167.725,-44.425
,167.725,-44.475
,167.725,-44.525
,167.725,-44.575
7410,167.725,-44.625
7411,167.725,-44.675
7412,167.725,-44.725
7413,167.725,-44.775
7414,167.725,-44.825
7415,167.725,-44.875
7416,167.725,-44.925
7417,167.725,-44.975
7418,167.725,-45.025
7419,167.725,-45.075
7420,167.725,-45.125
7421,167.725,-45.175
7422,167.725,-45.225
7423,167.725,-45.275
,166.725,-46.325
,166.725,-46.375
,166.725,-46.425
,166.725,-46.475
,166.775,-44.875
,166.775,-44.925
,166.775,-44.975
,166.775,-45.025
,166.775,-45.075
,166.775,-45.125
,166.775,-45.175
,166.775,-45.225
,166.775,-45.275
,166.775,-45.325
,166.775,-45.375
7424,166.775,-45.425
7425,166.775,-45.475
7428,166.775,-45.525
,166.775,-45.575
7429,166.775,-45.625
7431,166.775,-45.675
,166.775,-45.725
7433,166.775,-45.775
7434,166.775,-45.825
7435,166.775,-45.875
7436,166.775,-45.925
7437,166.775,-45.975
7438,166.775,-46.025
7439,166.775,-46.075
7440,166.775,-46.125
7441,166.775,-46.175
,166.775,-46.225
,166.775,-46.275
,166.775,-46.325
,166.775,-46.375
,166.775,-46.425
,166.775,-46.475
,166.825,-44.825
,166.825,-44.875
,166.825,-44.925
,166.825,-44.975
,166.825,-45.025
,166.825,-45.075
,167.225,-47.375
,167.225,-47.425
,167.225,-47.475
,167.225,-47.525
,167.275,-44.525
,167.275,-44.575
,167.275,-44.625
,167.275,-44.675
,167.275,-44.725
,167.275,-44.775
,167.275,-44.825
,167.275,-44.875
7442,167.275,-44.925
7443,167.275,-44.975
7444,167.275,-45.025
7445,167.275,-45.075
7446,167.275,-45.125
7447,167.275,-45.175
7448,167.275,-45.225
7449,167.275,-45.275
7452,167.275,-45.325
7453,167.275,-45.375
7454,167.275,-45.425
7455,167.275,-45.475
7456,167.275,-45.525
7457,167.275,-45.575
7458,167.275,-45.625
7459,167.275,-45.675
7460,167.275,-45.725
7461,167.275,-45.775
7462,167.275,-45.825
7463,167.275,-45.875
7464,167.275,-45.925
7465,167.275,-45.975
7466,167.275,-46.025
7467,167.275,-46.075
7468,167.275,-46.125
7469,167.275,-46.175
7471,167.275,-46.225
,167.275,-46.275
,167.275,-46.325
,167.275,-46.375
